Book ID,Book Title,Author,Genre,Summary,Number of Reviews,Average Rating,Publishing Year,Language Code,Gross Sales,Publisher Revenue
28,Notes from a Small Island,Bill Bryson,Travel,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it.""After nearly two decades spent on British soil, Bill Bryson - bestselling author of The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.",5231,3.91,1995,eng,442.89,0.0
93,Heidi,Johanna Spyri,Classics,"Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.",6263,4.03,1880,eng,3730.65,2238.39
112,Children of Dune,Frank Herbert,Science Fiction,"The desert planet of Arrakis has begun to grow green and lush. The life-giving spice is abundant. The nine-year-old royal twins, possesing their father's supernatural powers, are being groomed as Messiahs.But there are those who think the Imperium does not need messiahs...",8379,3.96,1976,eng,115.83,0.0
122,The Power of One,Bryce Courtenay,Fiction,"In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one.",5930,4.35,1989,eng,846.94,508.164
365,Dirk Gently's Holistic Detective Agency,Douglas Adams,Science Fiction,"What do a dead cat, a computer whiz-kid, an Electric Monk who believes the world is pink, quantum mechanics, a Chronologist over 200 years old, Samuel Taylor Coleridge (poet), and pizza have in common? Apparently not much; until Dirk Gently, self-styled private investigator, sets out to prove the fundamental interconnectedness of all things by solving a mysterious murder, assisting a mysterious professor, unravelling a mysterious mystery, and eating a lot of pizza – not to mention saving the entire human race from extinction along the way (at no extra charge). To find out more, read this book (better still, buy it, then read it) – or contact Dirk Gently’s Holistic Detective Agency. ‘A thumping good detective-ghost-horror-whodunnit-time travel-romantic-musical-comedy epic.’ The author",4505,3.97,1987,en-US,478.4,0.0
378,The Phantom Tollbooth,Norton Juster,Fantasy,"Librarian's Note: For an alternate cover edition of the same ISBN, click here.This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. For Milo, everything’s a bore. When a tollbooth mysteriously appears in his room, he drives through only because he’s got nothing better to do. But on the other side, things seem different. Milo visits the Island of Conclusions (you get there by jumping), learns about time from a ticking watchdog named Tock, and even embarks on a quest to rescue Rhyme and Reason! Somewhere along the way, Milo realizes something astonishing. Life is far from dull. In fact, it’s exciting beyond his wildest dreams. . . .",13412,4.2,1961,en-US,4509.34,0.0
599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,Nonfiction,"Countless writers and artists have spoken for a generation, but no one has done it quite like Chuck Klosterman. With an exhaustive knowledge of popular culture and an almost effortless ability to spin brilliant prose out of unlikely subject matter, Klosterman attacks the entire spectrum of postmodern America: reality TV, Internet porn, Pamela Anderson, literary Jesus freaks, and the real difference between apples and oranges (of which there is none). And don't even get him started on his love life and the whole Harry-Met-Sally situation. Whether deconstructing Saved by the Bell episodes or the artistic legacy of Billy Joel, the symbolic importance of The Empire Strikes Back or the Celtics/Lakers rivalry, Chuck will make you think, he'll make you laugh, and he'll drive you insane -- usually all at once. Sex, Drugs, and Cocoa Puffs is ostensibly about art, entertainment, infotainment, sports, politics, and kittens, but -- really -- it's about us. All of us. As Klosterman realizes late at night, in the moment before he falls asleep, ""In and of itself, nothing really matters. What matters is that nothing is ever 'in and of itself.'"" Read to believe.",3814,3.74,2003,en-US,111.87,67.122
667,Anthem,Ayn Rand,Fiction,"Anthem is Ayn Rand's classic tale of a dystopian future of the great ""We""—a world that deprives individuals of a name or independence—that anticipates her later masterpieces, The Fountainhead and Atlas Shrugged. They existed only to serve the state. They were conceived in controlled Palaces of Mating. They died in the Home of the Useless. From cradle to grave, the crowd was one—the great WE.In all that was left of humanity, there was only one man who dared to think, seek, and love. He lived in the dark ages of the future. In a loveless world, he dared to love the woman of his choice. In an age that had lost all trace of science and civilization, he had the courage to seek and find knowledge. But these were not the crimes for which he would be hunted. He was marked for death because he had committed the unpardonable sin: He had stood forth from the mindless human herd. He was a man alone. He had rediscovered the lost and holy word—I.""I worship individuals for their highest possibilities as individuals, and I loathe humanity, for its failure to live up to these possibilities."" —Ayn Rand",11461,3.61,1938,eng,1112.77,0.0
706,America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,Humor,"Jon Stewart, host of the Emmy and Peabody Award-winning The Daily Show, and his coterie of patriots, deliver a hilarious look at American government.American-style democracy is the world's most beloved form of government, which explains why so many other nations are eager for us to impose it on them. But what is American democracy? In America (The Book), Jon Stewart and The Daily Show writing staff offer their insights into our unique system of government, dissecting its institutions, explaining its history and processes, and exploring the reasons why concepts like one man, one vote, government by the people, and every vote counts have become such popular urban myths. Topics include: Ancient Rome: The First Republicans; The Founding Fathers: Young, Gifted, and White; The Media: Can it Be Stopped?; and more!",1476,4.01,2004,eng,1166.54,699.924
816,Cryptonomicon,Neal Stephenson,Fiction,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods—World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty—we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes—inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe—team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",6053,4.24,1999,eng,327.36,196.416
